gene,uniprot,text_call,confidence,text_dead_final,rationale_pass2,func_excerpt
SRC,P12931,active,high,False,,Non-receptor protein tyrosine kinase which is activated following engagement of many different classes of cellular recep
FYN,P06241,active,high,False,,Non-receptor tyrosine-protein kinase that plays a role in many biological processes including regulation of cell growth 
YES1,P07947,active,high,False,,"Non-receptor protein tyrosine kinase that is involved in the regulation of cell growth and survival, apoptosis, cell-cel"
TEC,P42680,active,high,False,,Non-receptor tyrosine kinase that contributes to signaling from many receptors and participates as a signal transducer i
BMX,P51813,active,high,False,,Non-receptor tyrosine kinase that plays central but diverse modulatory roles in various signaling processes involved in 
DDR2,Q16832,active,high,False,,Tyrosine kinase involved in the regulation of tissues remodeling. It functions as a cell surface receptor for fibrillar 
PTK2B,Q14289,active,high,False,,"Non-receptor protein-tyrosine kinase that regulates reorganization of the actin cytoskeleton, cell polarization, cell mi"
BTK,Q06187,active,high,False,,"Non-receptor tyrosine kinase indispensable for B lymphocyte development, differentiation and signaling. Binding of antig"
BLK,P51451,ambiguous,med,False,,"Non-receptor tyrosine kinase involved in B-lymphocyte development, differentiation and signaling (By similarity). B-cell"
TXK,P42681,active,high,False,,Non-receptor tyrosine kinase that plays a redundant role with ITK in regulation of the adaptive immune response. Regulat
FGR,P09769,inactive,high,False,"'devoid of kinase activity' refers to cell surface receptors, not this protein",Non-receptor tyrosine-protein kinase that transmits signals from cell surface receptors devoid of kinase activity and co
PTK7,Q13308,inactive,high,True,Explicitly called 'Inactive tyrosine kinase' and does not bind ATP.,Inactive tyrosine kinase involved in the Wnt signaling pathway. Component of both the non-canonical (also known as the W
PTK6,Q13882,active,high,False,,Non-receptor tyrosine-protein kinase implicated in the regulation of a variety of signaling pathways that control the di
MET,P08581,active,high,False,,Receptor tyrosine kinase that transduces signals from the extracellular matrix into the cytoplasm by binding to hepatocy
ITK,Q08881,active,high,False,,"Tyrosine kinase that plays an essential role in regulation of the adaptive immune response. Regulates the development, f"
SRMS,Q9H3Y6,active,high,False,,Non-receptor tyrosine-protein kinase which phosphorylates DOK1 on tyrosine residues. Also phosphorylates KHDRBS1/SAM68 a
DDR1,Q08345,active,high,False,,Tyrosine kinase that functions as a cell surface receptor for fibrillar collagen and regulates cell attachment to the ex
CSK,P41240,active,high,False,,"Non-receptor tyrosine-protein kinase that plays an important role in the regulation of cell growth, differentiation, mig"
MST1R,Q04912,active,high,False,,Receptor tyrosine kinase that transduces signals from the extracellular matrix into the cytoplasm by binding to MST1 lig
OBSCN,Q5VST9,active,high,False,,Structural component of striated muscles which plays a role in myofibrillogenesis. Probably involved in the assembly of 
MATK,P42679,ambiguous,med,False,,Could play a significant role in the signal transduction of hematopoietic cells. May regulate tyrosine kinase activity o
ZAP70,P43403,active,high,False,,"Tyrosine kinase that plays an essential role in regulation of the adaptive immune response. Regulates motility, adhesion"
SYK,P43405,active,high,False,,Non-receptor tyrosine kinase which mediates signal transduction downstream of a variety of transmembrane receptors inclu
MAP3K13,O43283,active,high,False,,Activates the JUN N-terminal pathway through activation of the MAP kinase kinase MAP2K7. Acts synergistically with PRDX3
RYK,P34925,ambiguous,med,False,,"May be a coreceptor along with FZD8 of Wnt proteins, such as WNT1, WNT3, WNT3A and WNT5A. Involved in neuron differentia"
TNK2,Q07912,active,high,False,,"Non-receptor tyrosine-protein and serine/threonine-protein kinase that is implicated in cell spreading and migration, ce"
MAP3K11,Q16584,active,high,False,,Activates the JUN N-terminal pathway. Required for serum-stimulated cell proliferation and for mitogen and cytokine acti
SPEG,Q15772,ambiguous,high,False,,Isoform 3 may have a role in regulating the growth and differentiation of arterial smooth muscle cells.
MAP3K12,Q12852,ambiguous,med,False,,"Part of a non-canonical MAPK signaling pathway. Activated by APOE, enhances the AP-1-mediated transcription of APP, via "
MAP3K21,Q5TCX8,inactive,high,False,"Describes lack of pathway activation, not loss of its own catalytic activity","Negative regulator of TLR4 signaling. Does not activate JNK1/MAPK8 pathway, p38/MAPK14, nor ERK2/MAPK1 pathways.."
MAP3K9,P80192,active,high,False,,Serine/threonine kinase which acts as an essential component of the MAP kinase signal transduction pathway. Plays an imp
MAP3K20,Q9NYL2,active,high,False,,Stress-activated component of a protein kinase signal transduction cascade that promotes programmed cell death in respon
BRAF,P15056,active,high,False,,Protein kinase involved in the transduction of mitogenic signals from the cell membrane to the nucleus (Probable). Phosp
MAP3K10,Q02779,ambiguous,low,False,,Activates the JUN N-terminal pathway..
STK4,Q13043,active,high,False,,"Stress-activated, pro-apoptotic kinase which, following caspase-cleavage, enters the nucleus and induces chromatin conde"
STK3,Q13188,active,high,False,,"Stress-activated, pro-apoptotic kinase which, following caspase-cleavage, enters the nucleus and induces chromatin conde"
LMTK3,Q96Q04,active,high,False,,Protein kinase which phosphorylates ESR1 (in vitro) and protects it against proteasomal degradation. May also regulate E
MAP3K7,O43318,active,high,False,,Serine/threonine kinase which acts as an essential component of the MAP kinase signal transduction pathway. Plays an imp
RAF1,P04049,active,high,False,,Serine/threonine-protein kinase that acts as a regulatory link between the membrane-associated Ras GTPases and the MAPK/
STK26,Q9P289,active,high,False,,Serine/threonine-protein kinase that acts as a mediator of cell growth. Modulates apoptosis. In association with STK24 n
AATK,Q6ZMQ8,ambiguous,high,False,,May be involved in neuronal differentiation..
STK24,Q9Y6E0,active,high,False,,Serine/threonine-protein kinase that acts on both serine and threonine residues and promotes apoptosis in response to st
SLK,Q9H2G2,ambiguous,med,False,,Mediates apoptosis and actin stress fiber dissolution..
STK25,O00506,active,high,False,,"Oxidant stress-activated serine/threonine kinase that plays a role in metabolic homeostasis, neuronal polarization, cell"
ARAF,P10398,active,high,False,,Involved in the transduction of mitogenic signals from the cell membrane to the nucleus. May also regulate the TOR signa
TNK1,Q13470,ambiguous,low,False,,Involved in negative regulation of cell growth. Has tumor suppressor properties. Plays a negative regulatory role in the
STK33,Q9BYT3,active,high,False,,Serine/threonine protein kinase required for spermatid differentiation and male fertility. Promotes sperm flagella assem
PAK1,Q13153,active,high,False,,Protein kinase involved in intracellular signaling pathways downstream of integrins and receptor-type kinases that plays
STYK1,Q6J9G0,active,high,False,,"Probable tyrosine protein-kinase, which has strong transforming capabilities on a variety of cell lines. When overexpres"
PAK2,Q13177,active,high,False,,Serine/threonine protein kinase that plays a role in a variety of different signaling pathways including cytoskeleton re
OXSR1,O95747,active,high,False,,"Effector serine/threonine-protein kinase component of the WNK-SPAK/OSR1 kinase cascade, which is involved in various pro"
LMTK2,Q8IWU2,active,high,False,,"Phosphorylates PPP1C, phosphorylase b and CFTR."
PAK3,O75914,active,high,False,,Serine/threonine protein kinase that plays a role in a variety of different signaling pathways including cytoskeleton re
NEK4,P51957,active,high,False,,Protein kinase that seems to act exclusively upon threonine residues (By similarity). Required for normal entry into pro
NEK11,Q8NG66,active,high,False,,Protein kinase which plays an important role in the G2/M checkpoint response to DNA damage. Controls degradation of CDC2
STK39,Q9UEW8,active,high,False,,"Effector serine/threonine-protein kinase component of the WNK-SPAK/OSR1 kinase cascade, which is involved in various pro"
NUAK1,O60285,active,high,False,,"Serine/threonine-protein kinase involved in various processes such as cell adhesion, regulation of cell ploidy and senes"
MARK4,Q96L34,active,high,False,,Serine/threonine-protein kinase. Phosphorylates the microtubule-associated protein MAPT/TAU. Also phosphorylates the mic
MARK2,Q7KZI7,active,high,False,,Serine/threonine-protein kinase. Involved in cell polarity and microtubule dynamics regulation. Phosphorylates CRTC2/TOR
ULK1,O75385,active,high,False,,Serine/threonine-protein kinase involved in autophagy in response to starvation. Acts upstream of phosphatidylinositol 3
NEK7,Q8TDX7,active,med,False,,Protein kinase which plays an important role in mitotic cell cycle progression. Required for microtubule nucleation acti
RIPK1,Q13546,active,high,False,,"Serine-threonine kinase which is a key regulator of TNF-mediated apoptosis, necroptosis and inflammatory pathways. Exhib"
MARK3,P27448,active,high,False,,Serine/threonine-protein kinase. Involved in the specific phosphorylation of microtubule-associated proteins for MAP2 an
NUAK2,Q9H093,active,high,False,,Stress-activated kinase involved in tolerance to glucose starvation. Induces cell-cell detachment by increasing F-actin 
MARK1,Q9P0L2,active,high,False,,"Serine/threonine-protein kinase. Involved in cell polarity and microtubule dynamics regulation. Phosphorylates DCX, MAP2"
NEK6,Q9HC98,active,high,False,,Protein kinase which plays an important role in mitotic cell cycle progression. Required for chromosome segregation at m
STK10,O94804,active,high,False,,"Serine/threonine-protein kinase involved in regulation of lymphocyte migration. Phosphorylates MSN, and possibly PLK1. I"
PRKAA1,Q13131,active,high,False,,"Catalytic subunit of AMP-activated protein kinase (AMPK), an energy sensor protein kinase that plays a key role in regul"
NEK3,P51956,active,high,False,,Protein kinase which influences neuronal morphogenesis and polarity through effects on microtubules. Regulates microtubu
PAK6,Q9NQU5,active,high,False,,Serine/threonine protein kinase that plays a role in the regulation of gene transcription. The kinase activity is induce
NEK1,Q96PY6,active,high,False,,"Phosphorylates serines and threonines, but also appears to possess tyrosine kinase activity. Involved in DNA damage chec"
ULK2,Q8IYT8,active,high,False,,Serine/threonine-protein kinase involved in autophagy in response to starvation. Acts upstream of phosphatidylinositol 3
PRKAA2,P54646,active,high,False,,"Catalytic subunit of AMP-activated protein kinase (AMPK), an energy sensor protein kinase that plays a key role in regul"
RPS6KB1,P23443,active,high,False,,Serine/threonine-protein kinase that acts downstream of mTOR signaling in response to growth factors and nutrients to pr
AURKA,O14965,active,high,False,,Mitotic serine/threonine kinase that contributes to the regulation of cell cycle progression. Associates with the centro
SIK3,Q9Y2K2,ambiguous,med,False,,"Positive regulator of mTOR signaling that functions by triggering the degradation of DEPTOR, an mTOR inhibitor. Involved"
AURKC,Q9UQB9,active,high,False,,"Serine/threonine-protein kinase component of the chromosomal passenger complex (CPC), a complex that acts as a key regul"
MYLK,Q15746,active,high,False,,Calcium/calmodulin-dependent myosin light chain kinase implicated in smooth muscle contraction via phosphorylation of my
TNNI3K,Q59H18,ambiguous,high,False,,May play a role in cardiac physiology..
TNIK,Q9UKE5,ambiguous,med,False,,Serine/threonine kinase that acts as an essential activator of the Wnt signaling pathway. Recruited to promoters of Wnt 
SIK2,Q9H0K1,active,high,False,,"Serine/threonine-protein kinase that plays a role in many biological processes such as fatty acid oxidation, autophagy, "
PAK4,O96013,active,high,False,,Serine/threonine-protein kinase that plays a role in a variety of different signaling pathways including cytoskeleton re
MAP4K3,Q8IVH8,ambiguous,low,False,,Serine/threonine kinase that plays a role in the response to environmental stress. Appears to act upstream of the JUN N-
STK17B,O94768,active,high,False,,Phosphorylates myosin light chains (By similarity). Acts as a positive regulator of apoptosis..
PAK5,Q9P286,active,high,False,,Serine/threonine protein kinase that plays a role in a variety of different signaling pathways including cytoskeleton re
STK36,Q9NRP7,active,high,False,,Serine/threonine protein kinase which plays an important role in the smoothened pathway by regulating the activity of GL
CAMK1D,Q8IU85,active,high,False,,"Calcium/calmodulin-dependent protein kinase that operates in the calcium-triggered CaMKK-CaMK1 signaling cascade and, up"
AKT2,P31751,active,high,False,,"Serine/threonine kinase closely related to AKT1 and AKT3. All 3 enzymes, AKT1, AKT2 and AKT3, are collectively known as "
LIMK1,P53667,active,high,False,,Serine/threonine-protein kinase that plays an essential role in the regulation of actin filament dynamics. Acts downstre
CAMK1,Q14012,active,high,False,,"Calcium/calmodulin-dependent protein kinase that operates in the calcium-triggered CaMKK-CaMK1 signaling cascade and, up"
SNRK,Q9NRH2,ambiguous,high,False,,May play a role in hematopoietic cell proliferation or differentiation. Potential mediator of neuronal apoptosis..
SIK1,P57059,active,high,False,,"Serine/threonine-protein kinase involved in various processes such as cell cycle regulation, gluconeogenesis and lipogen"
NEK8,Q86SG6,ambiguous,med,False,,Required for renal tubular integrity. May regulate local cytoskeletal structure in kidney tubule epithelial cells. May r
EIF2AK4,Q9P2K8,active,high,False,,Metabolic-stress sensing protein kinase that phosphorylates the alpha subunit of eukaryotic translation initiation facto
DAPK3,O43293,active,high,False,,"Serine/threonine kinase which is involved in the regulation of apoptosis, autophagy, transcription, translation and acti"
NEK10,Q6ZWH5,ambiguous,low,False,,"Plays a role in the cellular response to UV irradiation. Mediates G2/M cell cycle arrest, MEK autoactivation and ERK1/2-"
AKT3,Q9Y243,active,high,False,,"AKT3 is one of 3 closely related serine/threonine-protein kinases (AKT1, AKT2 and AKT3) called the AKT kinase, and which"
TAOK1,Q7L7X3,active,high,False,,"Serine/threonine-protein kinase involved in various processes such as p38/MAPK14 stress-activated MAPK cascade, DNA dama"
AKT1,P31749,active,high,False,,"AKT1 is one of 3 closely related serine/threonine-protein kinases (AKT1, AKT2 and AKT3) called the AKT kinase, and which"
SGK1,O00141,active,high,False,,"Serine/threonine-protein kinase which is involved in the regulation of a wide variety of ion channels, membrane transpor"
AURKB,Q96GD4,active,high,False,,"Serine/threonine-protein kinase component of the chromosomal passenger complex (CPC), a complex that acts as a key regul"
PRKACB,P22694,active,high,False,,Mediates cAMP-dependent signaling triggered by receptor binding to GPCRs. PKA activation regulates diverse cellular proc
PLK4,O00444,active,high,False,,Serine/threonine-protein kinase that plays a central role in centriole duplication. Able to trigger procentriole formati
STK32A,Q8WU08,ambiguous,med,False,,"Probable serine/threonine kinase with currently unidentified substrates. In the inner ear, functions as a planar cell po"
PLK1,P53350,active,high,False,,"Serine/threonine-protein kinase that performs several important functions throughout M phase of the cell cycle, includin"
RPS6KB2,Q9UBS0,active,high,False,,Phosphorylates specifically ribosomal protein S6. Seems to act downstream of mTOR signaling in response to growth factor
PRKCQ,Q04759,active,high,False,,"Calcium-independent, phospholipid- and diacylglycerol (DAG)-dependent serine/threonine-protein kinase that mediates non-"
MAP3K5,Q99683,active,high,False,,Serine/threonine kinase which acts as an essential component of the MAP kinase signal transduction pathway. Plays an imp
ULK3,Q6PHR2,active,high,False,,Serine/threonine protein kinase that acts as a regulator of smoothened signaling and autophagy. Acts as a positive regul
PLK3,Q9H4B4,active,high,False,,"Serine/threonine-protein kinase involved in cell cycle regulation, response to stress and Golgi disassembly. Polo-like k"
MINK1,Q8N4C8,active,high,False,,Serine/threonine kinase which acts as a negative regulator of Ras-related Rap2-mediated signal transduction to control n
PRKACA,P17612,active,high,False,,"Phosphorylates a large number of substrates in the cytoplasm and the nucleus. Phosphorylates CDC25B, ABL1, NFKB1, CLDN3,"
PKN2,Q16513,active,high,False,,PKC-related serine/threonine-protein kinase and Rho/Rac effector protein that participates in specific signal transducti
PLK2,Q9NYY3,active,high,False,,"Tumor suppressor serine/threonine-protein kinase involved in synaptic plasticity, centriole duplication and G1/S phase t"
IRAK4,Q9NWZ3,active,high,False,,Serine/threonine-protein kinase that plays a critical role in initiating innate immune response against foreign pathogen
MAP3K15,Q6ZN16,active,high,False,,"Serine/threonine kinase which acts as a component of the MAP kinase signal transduction pathway. Once activated, acts as"
CAMK1G,Q96NX5,active,high,False,,Calcium/calmodulin-dependent protein kinase belonging to a proposed calcium-triggered signaling cascade. In vitro phosph
NEK2,P51955,active,high,False,,Protein kinase which is involved in the control of centrosome separation and bipolar spindle formation in mitotic cells 
GRK4,P32298,active,high,False,,Specifically phosphorylates the activated forms of G protein-coupled receptors. GRK4-alpha can phosphorylate rhodopsin a
MELK,Q14680,active,high,False,,"Serine/threonine-protein kinase involved in various processes such as cell cycle regulation, self-renewal of stem cells,"
GRK6,P43250,active,high,False,,Specifically phosphorylates the activated forms of G protein-coupled receptors. Such receptor phosphorylation initiates 
CAMK2G,Q13555,ambiguous,med,False,,Calcium/calmodulin-dependent protein kinase that functions autonomously after Ca(2+)/calmodulin-binding and autophosphor
TAOK3,Q9H2K8,active,high,False,,Serine/threonine-protein kinase that acts as a regulator of the p38/MAPK14 stress-activated MAPK cascade and of the MAPK
PSKH1,P11801,ambiguous,med,False,,Serine/threonine protein kinase that may be involved in the regulation of pre-mRNA processing. It may phosphorylate comp
PRKCA,P17252,active,high,False,,"Calcium-activated, phospholipid- and diacylglycerol (DAG)-dependent serine/threonine-protein kinase that is involved in "
BRSK1,Q8TDC3,active,high,False,,Serine/threonine-protein kinase that plays a key role in polarization of neurons and centrosome duplication. Phosphoryla
MAP4K4,O95819,ambiguous,low,False,,Serine/threonine kinase that plays a role in the response to environmental stress and cytokines such as TNF. Appears to 
PRKG1,Q13976,active,high,False,,Serine/threonine protein kinase that acts as a key mediator of the nitric oxide (NO)/cGMP signaling pathway. GMP binding
PRKACG,P22612,active,high,False,,Phosphorylates a large number of substrates in the cytoplasm and the nucleus.
CAMK2A,Q9UQM7,active,high,False,,Calcium/calmodulin-dependent protein kinase that functions autonomously after Ca(2+)/calmodulin-binding and autophosphor
LIMK2,P53671,active,high,False,,Serine/threonine-protein kinase that plays an essential role in the regulation of actin filament dynamics. Acts downstre
BRSK2,Q8IWQ3,active,high,False,,"Serine/threonine-protein kinase that plays a key role in polarization of neurons and axonogenesis, cell cycle progress a"
MAP3K3,Q99759,ambiguous,med,False,,"Component of a protein kinase signal transduction cascade. Mediates activation of the NF-kappa-B, AP1 and DDIT3 transcri"
CAMK2D,Q13557,active,high,False,,Calcium/calmodulin-dependent protein kinase involved in the regulation of Ca(2+) homeostatis and excitation-contraction 
MAP4K1,Q92918,active,high,False,,"Serine/threonine-protein kinase, which plays a role in the response to environmental stress. Appears to act upstream of "
GRK5,P34947,active,high,False,,Serine/threonine kinase that phosphorylates preferentially the activated forms of a variety of G protein-coupled recepto
DAPK2,Q9UIK4,active,high,False,,Calcium/calmodulin-dependent serine/threonine kinase involved in multiple cellular signaling pathways that trigger cell 
PRKCE,Q02156,active,high,False,,"Calcium-independent, phospholipid- and diacylglycerol (DAG)-dependent serine/threonine-protein kinase that plays essenti"
PRKCH,P24723,active,high,False,,"Calcium-independent, phospholipid- and diacylglycerol (DAG)-dependent serine/threonine-protein kinase that is involved i"
TAOK2,Q9UL54,active,high,False,,Serine/threonine-protein kinase involved in different processes such as membrane blebbing and apoptotic bodies formation
MAP2K3,P46734,active,high,False,,Dual specificity kinase. Is activated by cytokines and environmental stress in vivo. Catalyzes the concomitant phosphory
PNCK,Q6P2M8,active,high,False,,Calcium/calmodulin-dependent protein kinase belonging to a proposed calcium-triggered signaling cascade. In vitro phosph
MAP3K6,O95382,active,high,False,,"Component of a protein kinase signal transduction cascade. Activates the JNK, but not ERK or p38 kinase pathways.."
PRKCB,P05771,active,high,False,,"Calcium-activated, phospholipid- and diacylglycerol (DAG)-dependent serine/threonine-protein kinase involved in various "
PKN1,Q16512,active,high,False,,PKC-related serine/threonine-protein kinase involved in various processes such as regulation of the intermediate filamen
MAP4K5,Q9Y4K4,ambiguous,low,False,,May play a role in the response to environmental stress. Appears to act upstream of the JUN N-terminal pathway..
PRKCD,Q05655,active,high,False,,"Calcium-independent, phospholipid- and diacylglycerol (DAG)-dependent serine/threonine-protein kinase that plays contras"
MAP4K2,Q12851,active,high,False,,Serine/threonine-protein kinase which acts as an essential component of the MAP kinase signal transduction pathway. Acts
DAPK1,P53355,active,high,False,,Calcium/calmodulin-dependent serine/threonine kinase involved in multiple cellular signaling pathways that trigger cell 
MAP3K4,Q9Y6R4,active,high,False,,"Component of a protein kinase signal transduction cascade. Activates the CSBP2, P38 and JNK MAPK pathways, but not the E"
MYLK3,Q32MK0,active,high,False,,"Kinase that phosphorylates MYL2 in vitro (By similarity). Has been proposed to be calmodulin-dependent, although MYL2 ph"
TESK2,Q96S53,active,high,False,,Dual specificity protein kinase activity catalyzing autophosphorylation and phosphorylation of exogenous substrates on b
PRKG2,Q13237,active,high,False,,Crucial regulator of intestinal secretion and bone growth. Phosphorylates and activates CFTR on the plasma membrane. Pla
CAMK2B,Q13554,active,med,False,,Calcium/calmodulin-dependent protein kinase that functions autonomously after Ca(2+)/calmodulin-binding and autophosphor
TSSK2,Q96PF2,active,high,False,,Testis-specific serine/threonine-protein kinase required during spermatid development. Phosphorylates TSKS at 'Ser-288' 
PRKX,P51817,active,high,False,,Serine/threonine protein kinase regulated by and mediating cAMP signaling in cells. Acts through phosphorylation of down
MYO3A,Q8NEV4,active,high,False,,"Actin-dependent motor protein with a protein kinase activity, playing an essential role in hearing. Probably also plays "
MAP2K6,P52564,active,high,False,,Dual specificity protein kinase which acts as an essential component of the MAP kinase signal transduction pathway. With
CDK3,Q00526,active,high,False,,Serine/threonine-protein kinase that plays a critical role in the control of the eukaryotic cell cycle; involved in G0-G
GRK1,Q15835,active,high,False,,"Retina-specific kinase involved in the signal turnoff via phosphorylation of rhodopsin (RHO), the G protein- coupled rec"
DCLK1,O15075,ambiguous,high,False,,Probable kinase that may be involved in a calcium-signaling pathway controlling neuronal migration in the developing bra
PRKD1,Q15139,active,high,False,,Serine/threonine-protein kinase that converts transient diacylglycerol (DAG) signals into prolonged physiological effect
SGK2,Q9HBY8,active,high,False,,"Serine/threonine-protein kinase which is involved in the regulation of a wide variety of ion channels, membrane transpor"
STK17A,Q9UEE5,ambiguous,low,False,,Acts as a positive regulator of apoptosis. Also acts as a regulator of cellular reactive oxygen species..
NEK9,Q8TD19,active,high,False,,"Pleiotropic regulator of mitotic progression, participating in the control of spindle dynamics and chromosome separation"
TESK1,Q15569,active,high,False,,Dual specificity protein kinase activity catalyzing autophosphorylation and phosphorylation of exogenous substrates on b
MAP3K2,Q9Y2U5,active,high,False,,Component of a protein kinase signal transduction cascade. Regulates the JNK and ERK5 pathways by phosphorylating and ac
PRKCG,P05129,active,high,False,,"Calcium-activated, phospholipid- and diacylglycerol (DAG)-dependent serine/threonine-protein kinase that plays diverse r"
PDPK1,O15530,active,high,False,,"Serine/threonine kinase which acts as a master kinase, phosphorylating and activating a subgroup of the AGC family of pr"
MYLK2,Q9H1R3,active,high,False,,Ca(2+)/calmodulin-dependent kinase that phosphorylates the regulatory light chain (RLC) of sarcomeric myosin in skeletal
SGK3,Q96BR1,ambiguous,med,False,,"Serine/threonine-protein kinase which is involved in the regulation of a wide variety of ion channels, membrane transpor"
PDPK2P,Q6A1A2,active,high,False,,"Phosphorylates and activates not only PKB/AKT, but also PKA, PKC-zeta, RPS6KA1 and RPS6KB1. May play a general role in s"
PRKD2,Q9BZL6,active,high,False,,Serine/threonine-protein kinase that converts transient diacylglycerol (DAG) signals into prolonged physiological effect
DCLK2,Q8N568,ambiguous,med,False,,Protein kinase with a significantly reduced C(a2+)/CAM affinity and dependence compared to other members of the CaMK fam
MAP2K4,P45985,active,high,False,,Dual specificity protein kinase which acts as an essential component of the MAP kinase signal transduction pathway. Esse
CILK1,Q9UPZ9,active,high,False,,Required for ciliogenesis. Phosphorylates KIF3A (By similarity). Involved in the control of ciliary length. Regulates th
TSSK1B,Q9BXA7,active,high,False,,Testis-specific serine/threonine-protein kinase required during spermatid development. Phosphorylates 'Ser-288' of TSKS.
PRKD3,O94806,ambiguous,low,False,,"Converts transient diacylglycerol (DAG) signals into prolonged physiological effects, downstream of PKC. Involved in res"
MAP3K1,Q13233,active,high,False,,Component of a protein kinase signal transduction cascade. Activates the ERK and JNK kinase pathways by phosphorylation 
CAMK4,Q16566,active,high,False,,Calcium/calmodulin-dependent protein kinase that operates in the calcium-triggered CaMKK-CaMK4 signaling cascade and reg
WNK1,Q9H4A3,active,high,False,,"Serine/threonine-protein kinase component of the WNK1-SPAK/OSR1 kinase cascade, which acts as a key regulator of blood p"
GRK7,Q8WTQ7,active,high,False,,Retina-specific kinase involved in the shutoff of the photoresponse and adaptation to changing light conditions via cone
PRKCI,P41743,active,high,False,,Calcium- and diacylglycerol-independent serine/ threonine-protein kinase that plays a general protective role against ap
CDK2,P24941,active,high,False,,"Serine/threonine-protein kinase involved in the control of the cell cycle; essential for meiosis, but dispensable for mi"
KSR2,Q6VAB6,ambiguous,med,False,,Location-regulated scaffold connecting MEK to RAF. Has very low protein kinase activity and can phosphorylate MAP2K1 at 
CHEK2,O96017,active,high,False,,"Serine/threonine-protein kinase which is required for checkpoint-mediated cell cycle arrest, activation of DNA repair an"
MAP2K7,O14733,active,high,False,,Dual specificity protein kinase which acts as an essential component of the MAP kinase signal transduction pathway. Esse
PHKG2,P15735,active,high,False,,"Catalytic subunit of the phosphorylase b kinase (PHK), which mediates the neural and hormonal regulation of glycogen bre"
CHEK1,O14757,active,high,False,,Serine/threonine-protein kinase which is required for checkpoint-mediated cell cycle arrest and activation of DNA repair
WNK3,Q9BYP7,active,high,False,,"Serine/threonine-protein kinase component of the WNK3-SPAK/OSR1 kinase cascade, which plays an important role in the reg"
MYO3B,Q8WXR4,active,high,False,,Probable actin-based motor with a protein kinase activity. Required for normal cochlear hair bundle development and hear
RIPK2,O43353,active,high,False,,Serine/threonine/tyrosine-protein kinase that plays an essential role in modulation of innate and adaptive immune respon
PHKG1,Q16816,active,high,False,,"Catalytic subunit of the phosphorylase b kinase (PHK), which mediates the neural and hormonal regulation of glycogen bre"
NRK,Q7Z2Y5,active,high,False,,"May phosphorylate cofilin-1 and induce actin polymerization through this process, during the late stages of embryogenesi"
TSSK4,Q6SA08,active,high,False,,Serine/threonine kinase which is involved in male germ cell development and in mature sperm function (By similarity). Ma
CDK1,P06493,ambiguous,med,False,,Plays a key role in the control of the eukaryotic cell cycle by modulating the centrosome cycle as well as mitotic onset
CASK,O14936,active,high,False,,Multidomain scaffolding Mg(2+)-independent protein kinase that catalyzes the phosphotransfer from ATP to proteins such a
MAP2K5,Q13163,ambiguous,med,False,,Acts as a scaffold for the formation of a ternary MAP3K2/MAP3K3-MAP3K5-MAPK7 signaling complex. Activation of this pathw
CDKL5,O76039,active,high,False,,Mediates phosphorylation of MECP2. May regulate ciliogenesis..
KSR1,Q8IVT5,active,high,False,,Part of a multiprotein signaling complex which promotes phosphorylation of Raf family members and activation of downstre
MAK,P20794,active,high,False,,Essential for the regulation of ciliary length and required for the long-term survival of photoreceptors (By similarity)
CDK17,Q00537,active,med,False,,May play a role in terminally differentiated neurons. Has a Ser/Thr-phosphorylating activity for histone H1 (By similari
KALRN,O60229,active,high,False,,"Promotes the exchange of GDP by GTP. Activates specific Rho GTPase family members, thereby inducing various signaling me"
WNK4,Q96J92,active,high,False,,"Serine/threonine-protein kinase component of the WNK4-SPAK/OSR1 kinase cascade, which acts as a key regulator of ion tra"
PRKCZ,Q05513,active,high,False,,Calcium- and diacylglycerol-independent serine/threonine-protein kinase that functions in phosphatidylinositol 3-kinase 
CDK6,Q00534,active,high,False,,Serine/threonine-protein kinase involved in the control of the cell cycle and differentiation; promotes G1/S transition.
TSSK6,Q9BXA6,ambiguous,med,False,,Serine/threonine-protein kinase component of the sperm flagellar doublet microtubules. May act as a regulator of sperm m
STK11,Q15831,active,high,False,,Tumor suppressor serine/threonine-protein kinase that controls the activity of AMP-activated protein kinase (AMPK) famil
RIPK3,Q9Y572,active,high,False,,"Serine/threonine-protein kinase that activates necroptosis and apoptosis, two parallel forms of cell death. Necroptosis,"
RIPK4,P57078,active,med,False,,Serine/threonine protein kinase (By similarity). Required for embryonic skin development and correct skin homeostasis in
MAPKAPK2,P49137,active,high,False,,"Stress-activated serine/threonine-protein kinase involved in cytokine production, endocytosis, reorganization of the cyt"
CAMKK2,Q96RR4,active,high,False,,Calcium/calmodulin-dependent protein kinase belonging to a proposed calcium-triggered signaling cascade involved in a nu
GRK3,P35626,active,high,False,,Specifically phosphorylates the activated forms of G protein-coupled receptors. Such receptor phosphorylation initiates 
CDK16,Q00536,active,high,False,,Protein kinase that plays a role in vesicle-mediated transport processes and exocytosis. Regulates GH1 release by brain 
CDK5,Q00535,active,high,False,,Proline-directed serine/threonine-protein kinase essential for neuronal cell cycle arrest and differentiation and may be
PKN3,Q6P5Z2,ambiguous,low,False,,Contributes to invasiveness in malignant prostate cancer..
TSSK3,Q96PN8,active,med,False,,Serine/threonine protein kinase required for spermatid development and male fertility..
MAPK1,P28482,active,high,False,,Serine/threonine kinase which acts as an essential component of the MAP kinase signal transduction pathway. MAPK1/ERK2 a
